Song Name,Popularity,Duration (min)
Starboy (feat. Daft Punk),61,3.8410166666666665
Party Monster,59,4.15345
False Alarm,56,3.6718
Reminder,58,3.6479833333333334
Rockinâ€™,54,3.88135
Secrets,54,4.426783333333334
True Colors,53,3.4339
Stargirl Interlude (feat. Lana Del Rey),57,1.8601833333333333
Sidewalks (feat. Kendrick Lamar),54,3.85595
Six Feet Under,53,3.9596
Love To Lay,52,3.7216833333333335
A Lonely Night,52,3.6695
Attention,51,3.29415
Ordinary Life,51,3.69855
Nothing Without You,50,3.3109
All I Know (feat. Future),51,5.350516666666667
Die For You,53,4.337583333333333
I Feel It Coming (feat. Daft Punk),55,4.486266666666666
Die For You (with Ariana Grande) - Remix,83,3.88095
Starboy (feat. Daft Punk) - Kygo Remix,54,4.078666666666667
Reminder (feat. A$AP Rocky & Young Thug) - Remix,56,3.6994666666666665
Intro - Live,49,1.5968833333333334
Alone Again - Live,52,2.78755
Gasoline - Live,52,3.2605833333333334
Sacrifice - Live,53,4.387333333333333
How Do I Make You Love Me? - Live,52,3.484
Can't Feel My Face - Live,51,3.0648
Take My Breath - Live,52,3.9327666666666667
Hurricane - Live,53,2.12545
The Hills - Live,54,3.08935
Often - Live,54,2.4813
Crew Love - Live,52,1.891
Starboy - Live,53,4.096966666666667
Heartless - Live,52,2.0709166666666667
Low Life - Live,52,1.7876
Or Nah - Live,51,1.6908333333333334
Kiss Land - Live,50,1.8385833333333332
Party Monster - Live,52,3.1647166666666666
Faith - Live,51,3.0836
After Hours - Live,55,4.4652
Out of Time - Live,51,3.3489
I Feel It Coming - Live,50,3.9019
Die For You - Live,51,3.2232333333333334
Is There Someone Else? - Live,52,3.9650666666666665
I Was Never There - Live,52,2.285816666666667
Wicked Games - Live,50,2.3847
Call Out My Name - Live,58,4.048316666666667
The Morning - Live,49,3.330033333333333
Save Your Tears - Live,50,2.9697833333333334
Less Than Zero - Live,51,4.07465
Blinding Lights - Live,51,4.22275
Outro - Live,44,3.3296833333333336
Nothing Is Lost (You Give Me Strength),67,4.4584
Into the Water,47,3.6675333333333335
Happiness Is Simple,48,2.3688
A New Star,40,2.9432833333333335
Converging Paths,41,1.7571
Rescue and Loss,38,6.666216666666666
Family Is Our Fortress,38,3.1120833333333335
Leaving Home,42,3.4586166666666665
The Way of Water,48,2.5008333333333335
Payakan,40,3.5034833333333335
Mighty Eywa,38,4.215633333333333
Friends,39,1.78575
Cove of the Ancestors,39,2.7680166666666666
The Tulkun Return,41,2.8549
The Hunt,35,5.794016666666667
Na'vi Attack,36,4.7312
Eclipse,36,3.2124333333333333
Bad Parents,35,3.3903166666666666
Knife Fight,34,2.7946
From Darkness to Light,41,4.2341
The Spirit Tree,41,2.9662166666666665
The Songcord,57,3.33075
Dawn FM,45,1.604
